,Unnamed: 0,Airline,Journey_date,From,To,Dtime,Atime,Stops,Price
0,0,,,,,,,,
1,0,Go First,15/07/2022,Goa,Ahmedabad,13:15,17:05,1 stop via Mumbai,"₹ 5,941"
2,1,Go First,15/07/2022,Goa,Ahmedabad,18:25,08:15,1 stop via Mumbai,"₹ 5,941"
3,2,Vistara,15/07/2022,Goa,Ahmedabad,13:20,23:50,1 stop via Mumbai,"₹ 6,903"
4,3,SpiceJet,15/07/2022,Goa,Ahmedabad,07:50,09:30,Non stop,"₹ 7,399"
5,4,IndiGo,15/07/2022,Goa,Ahmedabad,15:15,16:55,Non stop,"₹ 7,399"
6,5,IndiGo,15/07/2022,Goa,Ahmedabad,02:25,07:10,1 stop via Bengaluru,"₹ 7,399"
7,6,IndiGo,15/07/2022,Goa,Ahmedabad,02:05,08:15,1 stop via Hyderabad,"₹ 7,399"
8,7,IndiGo,15/07/2022,Goa,Ahmedabad,01:30,09:35,1 stop via Nagpur,"₹ 7,399"
9,8,IndiGo,15/07/2022,Goa,Ahmedabad,06:45,13:55,1 stop via Mumbai,"₹ 7,399"
10,9,IndiGo,15/07/2022,Goa,Ahmedabad,08:15,14:30,1 stop via Bengaluru,"₹ 7,399"
11,10,IndiGo,15/07/2022,Goa,Ahmedabad,07:20,15:20,1 stop via Hyderabad,"₹ 7,399"
12,11,IndiGo,15/07/2022,Goa,Ahmedabad,13:10,18:00,1 stop via Mumbai,"₹ 7,399"
13,12,IndiGo,15/07/2022,Goa,Ahmedabad,14:40,19:40,1 stop via Bengaluru,"₹ 7,399"
14,13,IndiGo,15/07/2022,Goa,Ahmedabad,18:40,22:45,1 stop via Mumbai,"₹ 7,399"
15,14,IndiGo,15/07/2022,Goa,Ahmedabad,16:30,22:45,1 stop via Mumbai,"₹ 7,399"
16,15,Go First,15/07/2022,Goa,Ahmedabad,20:50,22:20,Non stop,"₹ 7,400"
17,16,Go First,15/07/2022,Goa,Ahmedabad,14:00,20:55,1 stop via Bengaluru,"₹ 7,759"
18,17,Air India,15/07/2022,Goa,Ahmedabad,15:15,20:00,1 stop via Mumbai,"₹ 8,643"
19,18,"Vistara, IndiGo",15/07/2022,Goa,Ahmedabad,13:20,18:00,1 stop via Mumbai,"₹ 11,660"
20,19,"SpiceJet, IndiGo",15/07/2022,Goa,Ahmedabad,13:30,18:00,1 stop via Mumbai,"₹ 11,662"
21,0,Vistara,16/07/2022,Goa,Ahmedabad,13:20,23:50,1 stop via Mumbai,"₹ 6,903"
22,1,IndiGo,16/07/2022,Goa,Ahmedabad,15:15,16:55,Non stop,"₹ 7,399"
23,2,IndiGo,16/07/2022,Goa,Ahmedabad,00:10,07:40,1 stop via Mumbai,"₹ 7,399"
24,3,IndiGo,16/07/2022,Goa,Ahmedabad,01:30,09:35,1 stop via Nagpur,"₹ 7,399"
25,4,IndiGo,16/07/2022,Goa,Ahmedabad,06:45,13:55,1 stop via Mumbai,"₹ 7,399"
26,5,IndiGo,16/07/2022,Goa,Ahmedabad,07:25,14:30,1 stop via Bengaluru,"₹ 7,399"
27,6,IndiGo,16/07/2022,Goa,Ahmedabad,07:20,15:20,1 stop via Hyderabad,"₹ 7,399"
28,7,IndiGo,16/07/2022,Goa,Ahmedabad,13:10,18:00,1 stop via Mumbai,"₹ 7,399"
29,8,IndiGo,16/07/2022,Goa,Ahmedabad,14:40,19:40,1 stop via Bengaluru,"₹ 7,399"
30,9,IndiGo,16/07/2022,Goa,Ahmedabad,18:10,22:15,1 stop via Hyderabad,"₹ 7,399"
31,10,IndiGo,16/07/2022,Goa,Ahmedabad,14:30,22:15,1 stop via Hyderabad,"₹ 7,399"
32,11,IndiGo,16/07/2022,Goa,Ahmedabad,18:40,22:45,1 stop via Mumbai,"₹ 7,399"
